date,old_ticker,new_ticker
16/3/2022,BWAQU,TOYO
16/3/2022,HCMAU,MRNO
15/3/2022,HFC,DINO
14/3/2022,IGAP,GCTK
11/3/2022,BYN.U,PNST
11/3/2022,GRUB,JTKWY
11/3/2022,NJMC,IDR
10/3/2022,CNCG,MGLD
9/3/2022,ACABU,ABP
8/3/2022,EMPR,EP
8/3/2022,HCCC,DRTS
7/3/2022,WNNR.U,ZPTA
4/3/2022,KYCHU,ZOOZ
4/3/2022,BFRA,BFAGY
2/3/2022,SNII,RGTI
2/3/2022,NXTD,LGMK
1/3/2022,CINR,SIRE
23/2/2022,AIBBU,PSIG
23/2/2022,ALTM,KNTK
22/2/2022,BOCNU,TNMG
22/2/2022,BOMN,BOC
22/2/2022,IVCPU,ANNA
17/2/2022,VIAC,PSKY
17/2/2022,VIACA,PARAA
15/2/2022,AFIN,RTL
15/2/2022,ROCRW,QTEWQ
15/2/2022,ROCR,QTEKQ
15/2/2022,PLIN,BTOG
14/2/2022,NXU,NRGV
14/2/2022,TVAC,ISPO
11/2/2022,GCAC,CPTN
10/2/2022,LSPRU,ZVSA
10/2/2022,SQFL,SKYX
10/2/2022,SBEA,BRCC
9/2/2022,CCAC,QNGYQ
9/2/2022,CCAC.WS,QNGWQ
9/2/2022,EMLDU,FLD
7/2/2022,MCMJ,LFLY
7/2/2022,ENNV,FSRDQ
7/2/2022,SZZLU,CRML
7/2/2022,MVEN,AREN
4/2/2022,IVAN,SES
4/2/2022,BFAC.U,KIDZ
4/2/2022,VMAC,ANGH
3/2/2022,ENVI,GRNA
2/2/2022,TRIT,TRIRF
2/2/2022,CEGVV,CEG
1/2/2022,FRBNU,ENGN
1/2/2022,XPDBU,AIRJ
31/1/2022,RDS.A,SHEL
31/1/2022,BRKHU,BZAI
31/1/2022,PORT.U,ANGX
31/1/2022,HKIB,AMTD
28/1/2022,TREB,SST
28/1/2022,SEAH,SGHC
27/1/2022,ZIOP,TCRT
26/1/2022,YSAC,SKYH
26/1/2022,CFV,SATL
26/1/2022,OLITU,OPTX
24/1/2022,NVACU,PFSA
24/1/2022,CRY,AORT
21/1/2022,PACI.U,SOAR
21/1/2022,OSAT,NXPL
20/1/2022,XPDIW,CRZWQ
20/1/2022,XPDI,CORZQ
20/1/2022,FVE,ALR
19/1/2022,GMII,SOND
19/1/2022,OSMT,RVLPQ
14/1/2022,VHNAU,RDZN
14/1/2022,ODT,ODTC
14/1/2022,CPSR.WS,GLSWQ
14/1/2022,CPSR,GLSHQ
14/1/2022,DCRNW,DCFWQ
14/1/2022,DCRN,DCFCQ
14/1/2022,NAKD,CENN
14/1/2022,MAAQU,CDIO
11/1/2022,PAIC,REVB
11/1/2022,APN.U,APNC
10/1/2022,WLTW,WTW
10/1/2022,NETC.U,VSTE
10/1/2022,ENCPU,GTI
10/1/2022,IFIN.U,CURR
7/1/2022,SINO,SGLY
7/1/2022,JWACU,CJET
6/1/2022,ROCLU,NUAI
6/1/2022,VPCC,DAVE
5/1/2022,LGSTU,TVGN
4/1/2022,IOACU,ZCAR
4/1/2022,CBRGU,CBRRF
3/1/2022,LGVCU,NUVOQ
3/1/2022,RNERU,HUBC
3/1/2022,GBLIL,GBLL
29/12/2023,IOAC,ZCAR
28/12/2023,EGGF,FLYX
26/12/2023,BRLI,NUKK
26/12/2023,ID,IDICQ
26/12/2023,CLIN,ALCE
22/12/2023,BWV,ONCO
22/12/2023,CLAY,MOBX
22/12/2023,PRSR,LDTCF
22/12/2023,DUNE,HGAS
22/12/2023,BYTS,AISP
21/12/2023,NOGNW,NOGWQ
20/12/2023,SMAP,MSAI
20/12/2023,HCDIZ,HCDZQ
20/12/2023,HCDIW,HCDWQ
20/12/2023,HCDIP,HCDPQ
19/12/2023,NETC,VSTE
19/12/2023,NLTX,NGNE
18/12/2023,NIR,NIRLQ
15/12/2023,TRKAW,TRKWQ
15/12/2023,VII,BNZI
14/12/2023,ELIQW,ELIWQ
13/12/2023,GEHI,MYND
13/12/2023,ELIQ.WS,ELIWQ
13/12/2023,EFHT,ECDA
11/12/2023,UPH,UPHL
11/12/2023,MOBV,SVUHF
7/12/2023,VCXA,AAGR
4/12/2023,PACI,SOAR
1/12/2023,WS.W,WS
30/11/2023,CFFE,XBP
28/11/2023,AGLE,SYRE
17/11/2023,MOXC,ABTS
16/11/2023,MF,MFLTF
16/11/2023,JGGC,CAPT
15/11/2023,PYR,PYRGF
14/11/2023,SELB,RNAC
13/11/2023,TIO,TIOG
13/11/2023,SQL,ATLN
9/11/2023,GSMG,CHR
8/11/2023,WE,WEWKQ
8/11/2023,OLIT,OPTX
8/11/2023,DKDCA,ONMD
8/11/2023,WWAC,AERT
7/11/2023,VACC,BRNS
6/11/2023,AMAO,RMCO
6/11/2023,FREQ,KRRO
6/11/2023,OSTK,BBBY
3/11/2023,TRCA,CREV
3/11/2023,ASPA,CAUD
2/11/2023,PCYG,TRAK
1/11/2023,BNMV,ROII
1/11/2023,FRBN,ENGN
1/11/2023,NLS,BFXXQ
31/10/2023,CBIO,GYRE
30/10/2023,GLG,BYU
27/10/2023,SFR,SFRT
26/10/2023,AKU,AKUMQ
20/10/2023,TALS,TRML
20/10/2023,PCCT,SPEC
19/10/2023,SFT,SFTGQ
17/10/2023,NCR,VYX
17/10/2023,RAD,RADCQ
17/10/2023,VBLT,NTBLQ
13/10/2023,BTWN,MNY
11/10/2023,AATP,ATPC
10/10/2023,SSU,SSUNF
9/10/2023,VEDU,GV
6/10/2023,FZT,FBYD
5/10/2023,VQS,VQSSF
3/10/2023,SDC,SDCCQ
2/10/2023,SSU.WS,SSUTF
2/10/2023,KLG.W,KLG
2/10/2023,UPTD,ESLA
2/10/2023,ANZU,COCH
29/9/2023,MCLDW,MCLWF
29/9/2023,MCLDP,MCLPF
29/9/2023,METX,BTCT
28/9/2023,NASDAQ,SGD
28/9/2023,GFOR,NKGN
26/9/2023,DMS,DMSL
25/9/2023,CTIB,YHGJ
25/9/2023,HILS,THAR
25/9/2023,SUNL.WS,SULWQ
25/9/2023,MURF,CDT
21/9/2023,VHNA,RDZN
21/9/2023,DTOC,AONC
21/9/2023,ABML,ABAT
19/9/2023,ZEV,ZEVY
18/9/2023,TKAT,MI
15/9/2023,OFC,CDP
15/9/2023,JUPW,BNKK
13/9/2023,FLAG,CLDI
12/9/2023,RCLF,MDAI
12/9/2023,MGTA,DNTH
11/9/2023,SLGG,SLE
8/9/2023,LOV,LOVLY
8/9/2023,ADMP,DMKPQ
8/9/2023,BTB,BETSF
7/9/2023,BVXV,SCNI
7/9/2023,AZYO,ELUT
5/9/2023,UTME,WTO
31/8/2023,SCHN,RDUS
29/8/2023,OIG,OIGBQ
29/8/2023,MNK,MNKTQ
29/8/2023,ABC,COR
28/8/2023,PNAC,NCNCF
28/8/2023,FWAC,BEEP
24/8/2023,GMVDW,GMVWF
24/8/2023,AURC,BETR
23/8/2023,AMOT,ALNT
22/8/2023,YVR,YVRLF
21/8/2023,BUJAU,GIBO
18/8/2023,HMAC,ABLV
